id,frase,autor
51,"O tempo é a minha matéria, o tempo presente, os homens presentes, a vida presente.",Carlos Drummond de Andrade
52,Você não se eleva ao nível dos seus objetivos; você cai ao nível dos seus sistemas.,James Clear
53,"Fracasso é apenas a oportunidade de recomeçar, desta vez de forma mais inteligente.",Henry Ford
54,O preço do sucesso é trabalho duro e dedicação ao trabalho que está diante de você.,Vince Lombardi
55,O caráter não se desenvolve na tranquilidade; é na provação que a alma se fortalece.,Helen Keller
56,"Posso aceitar o fracasso, todo mundo falha em algo. Mas não posso aceitar não tentar.",Michael Jordan
57,"A perfeição é inatingível, mas se perseguirmos a perfeição alcançaremos a excelência.",Vince Lombardi
58,"Aqueles que dizem querer a liberdade, mas desprezam a luta, querem colher sem arar a terra.",Frederick Douglass
59,O que é a derrota? Nada além de conhecimento; nada além dos primeiros passos para algo melhor.,Wendell Phillips
60,"Você tem poder sobre a sua mente, não sobre os acontecimentos. Perceba isso e encontrará força.",Marco Aurélio
61,Toda reforma interior e toda mudança para melhor dependem da aplicação do nosso próprio esforço.,Immanuel Kant
62,"Nunca perca duas vezes seguidas: errar uma vez é acidente, errar duas é o começo de um novo hábito.",James Clear
63,Passei um dia sem comer e uma noite sem dormir para pensar: nada ganhei. Melhor teria sido estudar.,Confúcio
64,"Os problemas da vitória são mais agradáveis que os problemas da derrota, mas não são menos difíceis.",Winston Churchill
65,Trabalho profundo é a capacidade de se concentrar sem distração em uma tarefa cognitivamente exigente.,Cal Newport
66,O esforço conta duas vezes: talento vezes esforço é habilidade; habilidade vezes esforço é realização.,Angela Duckworth
67,"Ao amanhecer, quando custar levantar, diga a si mesmo: levanto para fazer o trabalho de um ser humano.",Marco Aurélio
68,Limites do nosso ouvido: nunca se ouvem senão as perguntas para as quais se é capaz de encontrar uma resposta.,Friedrich Nietzsche
69,O esforço chama sempre pelos melhores.,Sêneca
70,"Mudam-se os tempos, mudam-se as vontades.",Camões
71,Quem vive sem disciplina morre sem honra.,Provérbio islandês
72,O tempo perdido nunca mais é reencontrado.,Benjamin Franklin
73,Sobra tempo para quem sabe empregá-lo bem.,Leonardo da Vinci
74,O acaso favorece apenas a mente preparada.,Louis Pasteur
75,Quem começou bem já fez metade do trabalho.,Horácio
76,É preciso metade do tempo para usar a outra.,John Lock
77,A dor é inevitável. O sofrimento é opcional.,Haruki Murakami
78,Aceitar a ideia de uma derrota é ser vencido.,Ferdinand Foch
79,"Você pode adiar, mas o tempo não vai esperar.",Benjamin Franklin
80,O conhecimento coroa os esforços com o êxito.,Textos Budistas
81,"O homem pode ser destruído, mas não derrotado.",Ernest Hemingway
82,É mais fácil resistir no começo do que no fim.,Leonardo da Vinci
83,"Sem esforço, não se tira nem um peixe do lago.",Provérbio russo
84,O melhor caminho para sair é sempre atravessar.,Robert Frost
85,"Enquanto falamos, o tempo invejoso vai fugindo.",Horácio
86,O segredo do sucesso é a constância do objetivo.,Benjamin Disraeli
87,"Foge, entretanto, foge irreparavelmente o tempo.",Virgílio
88,Um objetivo sem um plano não passa de um desejo.,Antoine de Saint-Exupéry
89,"Eu caminho devagar, mas nunca caminho para trás.",Abraham Lincoln
90,A perseverança é o segredo de todos os triunfos.,Victor Hugo
91,A disciplina é a ponte entre metas e realizações.,Jim Rohn
92,Não atrase o seu progresso com medo de fracassar.,Nathiel Hover
93,Não conte com a motivação; conte com a disciplina.,Jocko Willink
94,Como se pode matar o tempo sem ferir a eternidade?,Thoreau
95,Minha força reside unicamente na minha tenacidade.,Louis Pasteur
96,A força do direito deve superar o direito da força.,Ruy Barbosa
97,Coragem é a arte de ter medo sem que nos apercebamos.,Pierre Véron
98,Não basta adquirir sabedoria: é preciso saber usá-la.,Cícero
99,"Eu desperdicei o tempo, e agora o tempo me desperdiça.",Shakespeare
100,Nossa paciência conquistará mais do que a nossa força.,Edmund Burke
101,Seu nível de sucesso raramente excederá seu nível de desenvolvimento pessoal.,"Hal Elrod, O Milagre da Manhã"
102,"Onde você está é resultado de quem você era, mas para onde você vai depende inteiramente de quem você escolhe ser a partir deste momento.","Hal Elrod, O Milagre da Manhã"
103,Ame a vida que você tem enquanto cria a vida dos seus sonhos.,"Hal Elrod, O Milagre da Manhã"
104,Não espere para ser grande.,"Hal Elrod, O Milagre da Manhã"
105,"Domine a sua manhã, eleve a sua vida.","Robin Sharma, O Clube das 5 da Manhã"
106,A desculpa é o sedutor da mediocridade.,"Robin Sharma, O Clube das 5 da Manhã"
107,"Todo mundo sonha em ser uma lenda, até chegar a hora de fazer o trabalho de uma lenda.","Robin Sharma, O Clube das 5 da Manhã"
108,A vitória é conquistada antes do amanhecer.,"Robin Sharma, O Clube das 5 da Manhã"
109,Você não se eleva ao nível dos seus objetivos. Você cai para o nível dos seus sistemas.,"James Clear, Hábitos Atômicos"
110,Hábitos são os juros compostos do autoaperfeiçoamento.,"James Clear, Hábitos Atômicos"
111,"O objetivo não é ler um livro, o objetivo é se tornar um leitor.","James Clear, Hábitos Atômicos"
112,Mudanças que parecem pequenas e sem importância a princípio se acumularão em resultados notáveis.,"James Clear, Hábitos Atômicos"
113,Entusiasmo é comum. Resistência é rara.,"Angela Duckworth, Grit"
114,O esforço conta duas vezes.,"Angela Duckworth, Grit"
115,Nossa capacidade de realizar muito mais do que imaginamos é o que nos torna notáveis.,"Angela Duckworth, Grit"
116,Para produzir no seu nível de pico você precisa trabalhar por longos períodos com concentração total.,"Cal Newport, Deep Work"
117,O que escolhemos focar e o que ignoramos desempenha um papel na definição da qualidade da nossa vida.,"Cal Newport, Deep Work"
118,"Se você não produzir, você não prosperará.","Cal Newport, Deep Work"
119,O talento é superestimado. O que realmente importa é a prática deliberada.,"Anders Ericsson & Robert Pool, Peak"
120,Não existe atalho para a excelência.,"Anders Ericsson & Robert Pool, Peak"
121,"A expertise não é um estado inato, é um processo de melhoria contínua.","Anders Ericsson & Robert Pool, Peak"
122,O segredo da felicidade é simples: descubra o que você realmente ama fazer e direcione toda a sua energia para isso.,"Robin Sharma, O Monge que Vendeu sua Ferrari"
123,"A mente é um servo maravilhoso, mas um mestre terrível.","Robin Sharma, O Monge que Vendeu sua Ferrari"
124,"Tudo é criado duas vezes: primeiro na mente, depois na realidade.","Robin Sharma, O Monge que Vendeu sua Ferrari"
125,O ponto de partida de toda conquista é o desejo.,"Napoleon Hill, Quem Pensa Enriquece"
126,"Você é o mestre do seu destino. Você pode influenciar, dirigir e controlar o seu próprio ambiente.","Napoleon Hill, Quem Pensa Enriquece"
127,"A força de vontade, combinada com o desejo, é uma dupla imbatível.","Napoleon Hill, Quem Pensa Enriquece"
128,"Plante um pensamento, colha uma ação; plante uma ação, colha um hábito.","Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
129,Eu não sou um produto das minhas circunstâncias. Eu sou um produto das minhas decisões.,"Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
130,Comece com o fim em mente.,"Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
131,A vida é essencialmente uma série infinita de problemas. A solução de um problema é apenas a criação do próximo.,"Mark Manson, A Sutil Arte de Ligar o F*da-se"
132,"Não espere por uma vida sem problemas. Não existe tal coisa. Em vez disso, espere por uma vida cheia de bons problemas.","Mark Manson, A Sutil Arte de Ligar o F*da-se"
133,"Você e todos que você conhece vão morrer em breve. E no curto período entre aqui e ali, você tem uma quantidade limitada de f*das para dar.","Mark Manson, A Sutil Arte de Ligar o F*da-se"
134,Lembre-se de que a sua situação de vida não é a sua vida.,"Hal Elrod, O Milagre da Manhã"
135,A vida começa onde termina a sua zona de conforto.,"Hal Elrod, O Milagre da Manhã"
136,Dê a si mesmo o presente de acordar cedo.,"Hal Elrod, O Milagre da Manhã"
137,A disciplina cria estilo de vida.,"Hal Elrod, O Milagre da Manhã"
138,Seja a pessoa que você precisa ser para criar a vida que você deseja.,"Hal Elrod, O Milagre da Manhã"
139,O silêncio é uma das melhores maneiras de reduzir imediatamente o estresse.,"Hal Elrod, O Milagre da Manhã"
140,"Para ter os resultados que apenas 5% têm, você deve estar disposto a fazer o que apenas 5% fazem.","Robin Sharma, O Clube das 5 da Manhã"
141,O vício em distração é o fim da sua produção criativa.,"Robin Sharma, O Clube das 5 da Manhã"
142,"Pequenas melhorias diárias, quando feitas de forma consistente ao longo do tempo, levam a resultados impressionantes.","Robin Sharma, O Clube das 5 da Manhã"
143,"Toda mudança é difícil no começo, confusa no meio e linda no final.","Robin Sharma, O Clube das 5 da Manhã"
144,Liderança é menos sobre a posição que você ocupa e mais sobre a excelência que você demonstra.,"Robin Sharma, O Clube das 5 da Manhã"
145,"Seu ambiente molda seu pensamento, sua inspiração e sua produção.","Robin Sharma, O Clube das 5 da Manhã"
146,"Você não precisa ser perfeito, apenas melhor do que ontem.","James Clear, Hábitos Atômicos"
147,O ambiente invisível molda o comportamento humano.,"James Clear, Hábitos Atômicos"
148,"A maneira mais eficaz de mudar seus hábitos é focar não no que você deseja alcançar, mas em quem você deseja se tornar.","James Clear, Hábitos Atômicos"
149,Todo comportamento é impulsionado pelo desejo de resolver um problema.,"James Clear, Hábitos Atômicos"
150,A repetição é a mãe da habilidade.,"James Clear, Hábitos Atômicos"
151,"Torne óbvio, torne atraente, torne fácil, torne satisfatório.","James Clear, Hábitos Atômicos"
152,A paixão por si só não é suficiente; é preciso perseverança.,"Angela Duckworth, Grit"
153,O talento é como você rapidamente melhora uma habilidade. O esforço é como você torna essa habilidade produtiva.,"Angela Duckworth, Grit"
154,A genialidade é a soma de muitas pequenas conquistas.,"Angela Duckworth, Grit"
155,"Cair sete vezes, levantar oito.","Angela Duckworth, Grit"
156,O interesse sem esforço é apenas um hobby.,"Angela Duckworth, Grit"
157,O foco no longo prazo é o que diferencia os realizadores.,"Angela Duckworth, Grit"
158,A capacidade de se concentrar profundamente é a superpotência do século 21.,"Cal Newport, Deep Work"
159,Deixe as redes sociais de lado e volte a focar no que importa.,"Cal Newport, Deep Work"
160,O trabalho superficial impede a verdadeira inovação.,"Cal Newport, Deep Work"
161,Agende cada minuto do seu dia.,"Cal Newport, Deep Work"
162,O descanso é essencial para o trabalho profundo.,"Cal Newport, Deep Work"
163,Abrace o tédio para treinar a sua mente a focar.,"Cal Newport, Deep Work"
164,O cérebro é adaptável; o treinamento molda sua estrutura.,"Anders Ericsson & Robert Pool, Peak"
165,A prática deliberada exige sair da zona de conforto.,"Anders Ericsson & Robert Pool, Peak"
166,O feedback imediato é crucial para a melhoria.,"Anders Ericsson & Robert Pool, Peak"
167,Modelos mentais bem desenvolvidos separam os especialistas dos novatos.,"Anders Ericsson & Robert Pool, Peak"
168,Não se limite pela ideia de talento natural.,"Anders Ericsson & Robert Pool, Peak"
169,A qualidade da prática supera a quantidade de horas.,"Anders Ericsson & Robert Pool, Peak"
170,O tempo é o seu bem mais precioso; não o desperdice.,"Robin Sharma, O Monge que Vendeu sua Ferrari"
171,O propósito da vida é uma vida de propósitos.,"Robin Sharma, O Monge que Vendeu sua Ferrari"
172,O medo é apenas um monstro criado pela sua própria mente.,"Robin Sharma, O Monge que Vendeu sua Ferrari"
173,"Invista em si mesmo, é o melhor investimento que você fará.","Robin Sharma, O Monge que Vendeu sua Ferrari"
174,A gratidão diária transforma a sua perspectiva.,"Robin Sharma, O Monge que Vendeu sua Ferrari"
175,Simplifique a sua vida para focar no essencial.,"Robin Sharma, O Monge que Vendeu sua Ferrari"
176,A fé é o único antídoto conhecido para o fracasso.,"Napoleon Hill, Quem Pensa Enriquece"
177,"Qualquer ideia, plano ou propósito pode ser colocado na mente através da repetição do pensamento.","Napoleon Hill, Quem Pensa Enriquece"
178,Um objetivo é um sonho com um prazo.,"Napoleon Hill, Quem Pensa Enriquece"
179,A procrastinação é inimiga do sucesso.,"Napoleon Hill, Quem Pensa Enriquece"
180,O conhecimento é apenas poder em potencial.,"Napoleon Hill, Quem Pensa Enriquece"
181,O fracasso é um plano que não deu certo; crie um novo plano.,"Napoleon Hill, Quem Pensa Enriquece"
182,"Procure primeiro compreender, depois ser compreendido.","Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
183,Sinergia significa que o todo é maior do que a soma das partes.,"Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
184,"Afie a serra: renove suas dimensões física, espiritual, mental e social.","Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
185,"Aja de acordo com seus princípios, não com seus humores.","Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
186,"Gerencie seu tempo com base na importância, não na urgência.","Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
187,Seja proativo e assuma a responsabilidade pela sua vida.,"Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
188,"Aceite que o sofrimento é inevitável, escolha pelo que sofrer.","Mark Manson, A Sutil Arte de Ligar o F*da-se"
189,Você é sempre responsável por como reage às coisas que acontecem com você.,"Mark Manson, A Sutil Arte de Ligar o F*da-se"
190,"O desejo de ter experiências mais positivas é, em si, uma experiência negativa.","Mark Manson, A Sutil Arte de Ligar o F*da-se"
191,A ação não é apenas o efeito da motivação; é também a causa.,"Mark Manson, A Sutil Arte de Ligar o F*da-se"
192,A incerteza é a raiz de todo o progresso e crescimento.,"Mark Manson, A Sutil Arte de Ligar o F*da-se"
193,Abrace suas falhas e aprenda com elas.,"Mark Manson, A Sutil Arte de Ligar o F*da-se"
194,"O sucesso é o produto de hábitos diários, não de transformações únicas na vida.","James Clear, Hábitos Atômicos"
195,"Seja o arquiteto dos seus hábitos, não a vítima deles.","James Clear, Hábitos Atômicos"
196,"Pequenas mudanças, resultados notáveis.","James Clear, Hábitos Atômicos"
197,"Concentre-se no sistema, não na meta.","James Clear, Hábitos Atômicos"
198,"O autocontrole é uma estratégia de curto prazo, não de longo prazo.","James Clear, Hábitos Atômicos"
199,"A melhor maneira de mudar quem você é, é mudar o que você faz.","James Clear, Hábitos Atômicos"
200,Cada ação é um voto para o tipo de pessoa que você deseja se tornar.,"James Clear, Hábitos Atômicos"
201,A sua primeira hora dita o seu dia.,"Hal Elrod, O Milagre da Manhã"
202,O sucesso é algo que você atrai pela pessoa em que se torna.,"Hal Elrod, O Milagre da Manhã"
203,Não deixe que os medos do passado ditem o seu futuro.,"Hal Elrod, O Milagre da Manhã"
204,Ler é para a mente o que o exercício é para o corpo.,"Hal Elrod, O Milagre da Manhã"
205,A mediocridade é o resultado de não ter um compromisso com a excelência.,"Hal Elrod, O Milagre da Manhã"
206,"Você não precisa ser ótimo para começar, mas precisa começar para ser ótimo.","Hal Elrod, O Milagre da Manhã"
207,A clareza sobre o que importa traz clareza sobre o que não importa.,"Cal Newport, Deep Work"
208,"O trabalho profundo é como um músculo, precisa ser exercitado.","Cal Newport, Deep Work"
209,Foco é o novo QI no ambiente de trabalho moderno.,"Cal Newport, Deep Work"
210,Uma vida profunda é uma boa vida.,"Cal Newport, Deep Work"
211,"Para deixar sua marca no mundo, você precisa produzir.","Cal Newport, Deep Work"
212,A multitarefa é um mito que destrói a produtividade.,"Cal Newport, Deep Work"
213,Trate as pessoas como elas podem ser e você as ajudará a se tornarem o que são capazes de ser.,"Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
214,A gestão é a eficiência em subir a escada do sucesso; a liderança determina se a escada está encostada na parede certa.,"Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
215,"Ouça com a intenção de entender, não com a intenção de responder.","Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
216,"A força reside nas diferenças, não nas semelhanças.","Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
217,"Nós vemos o mundo não como ele é, mas como nós somos.","Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
218,O essencial é fazer com que as coisas mais importantes sejam as mais importantes.,"Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
219,A confiança é a cola da vida. É o ingrediente mais essencial na comunicação eficaz.,"Stephen Covey, Os 7 Hábitos das Pessoas Altamente Eficazes"
220,A oportunidade muitas vezes vem disfarçada de infortúnio ou derrota temporária.,"Napoleon Hill, Quem Pensa Enriquece"
221,Não há substituto para a persistência.,"Napoleon Hill, Quem Pensa Enriquece"
222,A mente subconsciente não faz distinção entre impulsos de pensamento construtivos ou destrutivos.,"Napoleon Hill, Quem Pensa Enriquece"
223,O desejo ardente é o ponto de partida de todas as conquistas.,"Napoleon Hill, Quem Pensa Enriquece"
224,Ações falam mais alto que palavras.,"Napoleon Hill, Quem Pensa Enriquece"
225,Um desistente nunca vence e um vencedor nunca desiste.,"Napoleon Hill, Quem Pensa Enriquece"
226,"A educação vem de dentro; você a obtém por meio de luta, esforço e pensamento.","Napoleon Hill, Quem Pensa Enriquece"
227,A dor é o fio condutor da vida e tentar evitá-la é um erro.,"Mark Manson, A Sutil Arte de Ligar o F*da-se"
228,Melhorar é uma questão de estar disposto a estar errado.,"Mark Manson, A Sutil Arte de Ligar o F*da-se"
229,"Nós não somos especiais, e aceitar isso é libertador.","Mark Manson, A Sutil Arte de Ligar o F*da-se"
230,"A felicidade é um problema em constante andamento, não um estado final.","Mark Manson, A Sutil Arte de Ligar o F*da-se"
231,Assumir a responsabilidade por nossos problemas é o primeiro passo para resolvê-los.,"Mark Manson, A Sutil Arte de Ligar o F*da-se"
232,A morte é a única certeza que temos; use-a para focar no que importa.,"Mark Manson, A Sutil Arte de Ligar o F*da-se"
233,A esperança é o que nos mantém de pé quando tudo dá errado.,"Angela Duckworth, Grit"
234,O talento não é tudo; o esforço importa muito mais.,"Angela Duckworth, Grit"
235,"Para ser corajoso, você deve abraçar a vulnerabilidade.","Angela Duckworth, Grit"
236,A paixão é um compromisso contínuo e diário.,"Angela Duckworth, Grit"
237,O esforço cria a habilidade e o esforço torna a habilidade produtiva.,"Angela Duckworth, Grit"
238,A consistência do esforço ao longo do tempo é o que realmente importa.,"Angela Duckworth, Grit"
239,O suor na prática sangra menos na guerra.,"Robin Sharma, O Clube das 5 da Manhã"
240,Ideias não valem nada sem uma execução magistral.,"Robin Sharma, O Clube das 5 da Manhã"
241,O gênio é 1% de inspiração e 99% de transpiração extrema.,"Robin Sharma, O Clube das 5 da Manhã"
242,"Os verdadeiros heróis são construídos no escuro, longe dos aplausos.","Robin Sharma, O Clube das 5 da Manhã"
243,A dor da disciplina é sempre menor que a dor do arrependimento.,"Robin Sharma, O Clube das 5 da Manhã"
244,"A excelência é uma jornada contínua, não um destino final.","Robin Sharma, O Clube das 5 da Manhã"
245,"A prática torna permanente, não perfeito. Só a prática deliberada traz a perfeição.","Anders Ericsson & Robert Pool, Peak"
246,"Para melhorar, você deve estar sempre no limite da sua capacidade atual.","Anders Ericsson & Robert Pool, Peak"
247,O cérebro muda fisicamente em resposta ao treinamento rigoroso.,"Anders Ericsson & Robert Pool, Peak"
248,Ninguém nasce um especialista; todos precisam trilhar o caminho do esforço.,"Anders Ericsson & Robert Pool, Peak"
249,"A prática deliberada é intensamente focada e consciente, não apenas repetição.","Anders Ericsson & Robert Pool, Peak"
250,A verdadeira expertise requer anos de esforço concentrado e guiado.,"Anders Ericsson & Robert Pool, Peak"
251,O riso abre o coração e acalma a alma.,"Robin Sharma, O Monge que Vendeu sua Ferrari"
252,"A vida é uma jornada de descoberta, não um destino a ser alcançado rapidamente.","Robin Sharma, O Monge que Vendeu sua Ferrari"
253,A preocupação constante drena a mente de sua energia vital.,"Robin Sharma, O Monge que Vendeu sua Ferrari"
254,A qualidade de sua vida é determinada pela qualidade de seus pensamentos diários.,"Robin Sharma, O Monge que Vendeu sua Ferrari"
255,"O fracasso não existe, existem apenas lições a serem aprendidas.","Robin Sharma, O Monge que Vendeu sua Ferrari"
256,O tempo escorre por entre nossos dedos como grãos de areia; valorize cada segundo.,"Robin Sharma, O Monge que Vendeu sua Ferrari"
257,Seja o mestre absoluto de sua própria vontade e de seus desejos.,"Robin Sharma, O Monge que Vendeu sua Ferrari"
258,"O mais importante não é o que você alcança, mas no que você se torna.","James Clear, Hábitos Atômicos"
259,Comportamentos são o reflexo da sua identidade.,"James Clear, Hábitos Atômicos"
260,"Para construir um hábito, torne-o satisfatório.","James Clear, Hábitos Atômicos"
261,O segredo para obter resultados duradouros é nunca parar de fazer melhorias.,"James Clear, Hábitos Atômicos"
262,O verdadeiro comportamento de mudança é a mudança de identidade.,"James Clear, Hábitos Atômicos"
263,"Se você quer dominar um hábito, a chave é começar com a repetição, não a perfeição.","James Clear, Hábitos Atômicos"
264,Profissionais mantêm o cronograma; amadores deixam a vida atrapalhar.,"James Clear, Hábitos Atômicos"
265,Seu primeiro pensamento da manhã é muitas vezes o mesmo do último pensamento da noite.,"Hal Elrod, O Milagre da Manhã"
266,A maneira como você acorda a cada dia dita o seu nível de sucesso.,"Hal Elrod, O Milagre da Manhã"
267,Não deixe que as desculpas o impeçam de viver a vida dos seus sonhos.,"Hal Elrod, O Milagre da Manhã"
268,A responsabilidade traz ordem e resultados à sua vida.,"Hal Elrod, O Milagre da Manhã"
269,Leia para a sua mente como você se exercita para o seu corpo.,"Hal Elrod, O Milagre da Manhã"
270,"Para que as coisas mudem, você tem que mudar.","Hal Elrod, O Milagre da Manhã"
271,Cada manhã você tem a escolha de continuar dormindo com seus sonhos ou acordar e persegui-los.,"Hal Elrod, O Milagre da Manhã"
272,A tranquilidade é o novo luxo da nossa sociedade.,"Robin Sharma, O Clube das 5 da Manhã"
273,O isolamento é a recompensa da grandeza.,"Robin Sharma, O Clube das 5 da Manhã"
274,A genialidade se revela na solidão.,"Robin Sharma, O Clube das 5 da Manhã"
275,"O sucesso não é um acidente, é um projeto.","Robin Sharma, O Clube das 5 da Manhã"
276,Acorde antes do sol e você dominará o seu dia.,"Robin Sharma, O Clube das 5 da Manhã"
277,"Se você quer ter resultados extraordinários, precisa fazer coisas extraordinárias.","Robin Sharma, O Clube das 5 da Manhã"
278,A vida é muito curta para se contentar com o comum.,"Robin Sharma, O Clube das 5 da Manhã"
279,O potencial é uma coisa; o que fazemos com ele é outra bem diferente.,"Angela Duckworth, Grit"
280,Ninguém trabalha duro em algo que não acha fascinante.,"Angela Duckworth, Grit"
281,A garra cresce à medida que descobrimos o nosso propósito.,"Angela Duckworth, Grit"
282,O otimismo é o que nos faz levantar depois de cair.,"Angela Duckworth, Grit"
283,"O sucesso é uma maratona, não um sprint.","Angela Duckworth, Grit"
284,Paixão significa importar-se profundamente com o que você faz.,"Angela Duckworth, Grit"
285,"Quando você tem garra, você não desiste diante da primeira dificuldade.","Angela Duckworth, Grit"
286,"O trabalho profundo não é uma opção, é uma necessidade para o sucesso.","Cal Newport, Deep Work"
287,A distração é o inimigo número um da produtividade.,"Cal Newport, Deep Work"
288,"Se você não consegue se concentrar, não consegue aprender.","Cal Newport, Deep Work"
289,Valorize o trabalho focado acima de todas as outras tarefas.,"Cal Newport, Deep Work"
290,"A internet é uma ferramenta, não um mestre.","Cal Newport, Deep Work"
291,"Para produzir no mais alto nível, você precisa de blocos de tempo ininterruptos.","Cal Newport, Deep Work"
292,"O verdadeiro valor é criado na profundidade, não na superfície.","Cal Newport, Deep Work"
293,A prática deliberada requer foco total e esforço consciente.,"Anders Ericsson & Robert Pool, Peak"
294,"O talento não é um dom, é uma habilidade desenvolvida.","Anders Ericsson & Robert Pool, Peak"
295,"Para melhorar, você precisa de feedback constante.","Anders Ericsson & Robert Pool, Peak"
296,O sucesso é o resultado de milhares de horas de prática invisível.,"Anders Ericsson & Robert Pool, Peak"
297,Ninguém atinge a excelência sem sair da zona de conforto.,"Anders Ericsson & Robert Pool, Peak"
298,A expertise é construída passo a passo.,"Anders Ericsson & Robert Pool, Peak"
299,O treinamento certo pode mudar a estrutura do seu cérebro.,"Anders Ericsson & Robert Pool, Peak"
300,A mente é como um jardim; cultive-a com cuidado.,"Robin Sharma, O Monge que Vendeu sua Ferrari"
301,"A verdadeira riqueza não é material, é espiritual.","Robin Sharma, O Monge que Vendeu sua Ferrari"
302,Viva o momento presente com total intensidade.,"Robin Sharma, O Monge que Vendeu sua Ferrari"
